handle,display_name,fid,wallet,project,track
uniquebeing404,Uniquebeing,849116,0xd6B69E58D44e523EB58645F1B78425c96Dfa648C,ColorZAO,builder
pascaline,Caline,1119246,0x5Dc697f2799bd232CaD2d479C379fF305b699F9b,ZAO Artist Value Ledger,builder
breadcoop,breadcoop,1357539,0x09051AAa3a472A8Bf73B000349fca2073D06fa03,Stacks,builder
kayonfire,KayOnfire,1088459,0xf109e709B89B820Ac38529bC354aA1f5AFB2f1a1,NeonTetris,builder
n3m,n3m (LadyrynNemesis),3342832,0xE243c5C876FD259AC41Bf8A15aEF64Cf522fea8f,SURFBOARD,builder
mettodo,Mettodo,550655,0xad7575AEFd4d64520c3269FD24eae1b0E13dbE7B,El Charro,builder
taydexfun,taydexfun (Halit Tayyar),3342367,0x6A5B8AaFEDF836D2883bc5a251b3539F36f35D7B,TayDex,creator
ghostmintops,ghostmintops (Brandon),1477142,0x7D79E902482469dA64977d2B0977120C77029593,ZABAL Recording Scout + 5 more,builder
branth,Branth (Korrocorp),,0x258772bbc43845a43df7187f53624605366e0138,WaveWarZ Bridge Portal + 4 more,builder
jdwalka,jdwalka (JohnDaWalka),2272296,0x59223379E56f18Ead2AbDecE93BcfB5c6d6Cf5ae,Chroma Poker + 2 more,builder
gesd1,gesd1,1355878,0x97FdcF12e299031958f9Dd1e9Cc01E1eD73d4180,Blend Music Genres video,artist
imanafrikah,IMan Afrikah,1057869,0xA0434a9A5403b9E2a197BA1cAe9963406c4f31ac,ZABAL Artwork,creator
presdency.eth,presdency.base.eth,1079922,0x2805E9dBCe2839C5FeAe858723F9499f15fd88CF,HOOD,builder
dee-13,Dee,1104991,0x96E9025466a3e15DC2c3B28C1c6C71523a93f703,Ledger,artist
pyrofirezerox,pyrofirezerox (Joshua Grubbs),1479995,0x682ebE895E62e046D86cBc1652E61196Dff1f256,GundariuM,builder
